1;1853;9.900000;174;small
2;1873;9.900000;177;small
3;1831;9.900000;186;small
4;1894;9.900000;196;small
5;1828;9.900000;201;small
6;1898;9.900000;205;small
7;1837;9.900000;218;small
8;1904;9.900000;226;small
9;1848;9.900000;229;small
10;1903;9.900000;249;small
11;1865;9.900000;236;small
12;1887;9.900000;247;small
13;1909;9.900000;335;small
14;1924;9.900000;338;small
15;1894;9.900000;350;small
16;1943;9.900000;361;small
17;1895;9.900000;361;small
18;1912;9.900000;370;small
19;1925;9.900000;371;small
20;2002;9.900000;612;small
21;1963;9.900000;573;small
22;2057;9.900000;487;small
23;2117;9.900000;612;small
24;2066;9.900000;436;small
25;2036;9.900000;438;small
26;2063;9.900000;650;small
27;1978;9.900000;634;small
28;2113;9.900000;714;small
29;2224;9.900000;733;small
30;2284;9.900000;763;small
31;2222;9.900000;708;small
32;2169;9.900000;737;small
33;2309;9.900000;798;small
34;2991;9.900000;1221;small
35;3687;9.900000;1192;small
36;3267;9.900000;1622;small
37;3310;9.900000;1116;small
38;2715;9.900000;1580;small
39;2652;9.900000;914;small
40;3558;9.900000;1611;small
41;2349;9.900000;1042;small
42;3091;9.900000;1646;small
43;2577;9.900000;1191;small
44;2860;9.900000;855;small
45;2463;9.900000;773;small
46;2782;9.900000;1162;small
47;3490;9.900000;1338;small
48;3100;9.900000;1204;small
49;3120;9.900000;1020;small
50;3675;9.900000;1419;small
51;2678;9.900000;1415;small
52;2942;9.900000;1733;small
53;2830;9.900000;1420;small
54;3183;9.900000;1709;small
55;2426;9.900000;1068;small
56;3496;9.900000;1606;small
57;3425;9.900000;1213;small
58;3687;9.900000;1529;small
59;2911;9.900000;1249;small
60;2409;9.900000;886;small
61;2895;9.900000;1473;small
62;2844;9.900000;975;small
63;3531;9.900000;1484;small
64;3354;9.900000;1056;small
65;2746;9.900000;1248;small
66;3126;9.900000;1435;small
67;2745;9.900000;1617;small
68;2877;9.900000;1690;small
69;3214;9.900000;1015;small
70;2727;9.900000;1063;small
71;2896;9.900000;1404;small
72;3031;9.900000;978;small
73;2808;9.900000;1458;small
74;2515;9.900000;910;small
75;3534;9.900000;1279;small
76;2259;9.900000;927;small
77;2375;9.900000;811;small
78;2640;9.900000;1471;small
79;2776;9.900000;826;small
80;2856;9.900000;803;small
81;3650;9.900000;1562;small
82;3255;9.900000;989;small
83;3381;9.900000;1328;small
84;2392;9.900000;842;small
85;2944;9.900000;1610;small
86;2599;9.900000;1311;small
87;3419;9.900000;1380;small
88;3664;9.900000;1163;small
89;2338;9.900000;934;small
90;3362;9.900000;1186;small
91;2741;9.900000;1416;small
92;3593;9.900000;1254;small
93;2622;9.900000;1249;small
94;3119;9.900000;1159;small
95;2899;9.900000;984;small
96;2695;9.900000;1273;small
97;2679;9.900000;1162;small
98;2344;9.900000;1000;small
99;2332;9.900000;741;small
100;3019;9.900000;1724;small
101;2670;9.900000;989;small
102;2700;9.900000;1407;small
103;3195;9.900000;1755;small
104;3413;9.900000;1294;small
105;3008;9.900000;1709;small
106;2673;9.900000;878;small
107;3585;9.900000;1178;small
108;2628;9.900000;1311;small
109;3592;9.900000;1217;small
110;3558;9.900000;1645;small
111;3727;9.900000;1349;small
112;2435;9.900000;1034;small
113;3652;9.900000;1492;small
114;3233;9.900000;1136;small
115;3272;9.900000;1672;small
116;2594;9.900000;1352;small
117;2539;9.900000;997;small
118;3281;9.900000;1030;small
119;2718;9.900000;840;small
120;3141;9.900000;1085;small
121;3226;9.900000;1174;small
122;3337;9.900000;1047;small
123;2868;9.900000;1659;small
124;2678;9.900000;843;small
125;2842;9.900000;752;small
126;3088;9.900000;1123;small
127;2924;9.900000;1319;small
128;2496;9.900000;889;small
129;2469;9.900000;957;small
130;2332;9.900000;824;small
131;2971;9.900000;1400;small
132;3331;9.900000;1195;small
133;2718;9.900000;947;small
134;2959;9.900000;1275;small
135;2665;9.900000;1250;small
136;2740;9.900000;1600;small
137;2443;9.900000;752;small
138;2818;9.900000;1346;small
139;3510;9.900000;1555;small
140;3620;9.900000;1299;small
141;3045;9.900000;1101;small
142;3367;9.900000;1640;small
143;3130;9.900000;1657;small
144;3019;9.900000;906;small
145;2607;9.900000;878;small
146;2785;9.900000;726;small
147;2622;9.900000;1153;small
148;2907;9.900000;863;small
149;3282;9.900000;1446;small
150;3512;9.900000;1596;small
151;3186;9.900000;1734;small
152;2753;9.900000;1578;small
153;3612;9.900000;1399;small
154;3305;9.900000;1033;small
155;2688;9.900000;868;small
156;2962;9.900000;944;small
157;3451;9.900000;1661;small
158;3325;9.900000;1223;small
159;2930;9.900000;847;small
160;2849;9.900000;928;small
161;2566;9.900000;861;small
162;3776;9.900000;1464;small
163;2432;9.900000;864;small
164;2435;9.900000;763;small
165;3639;9.900000;1354;small
166;2670;9.900000;893;small
167;2738;9.900000;921;small
168;3740;9.900000;1378;small
169;3225;9.900000;1616;small
170;3383;9.900000;1548;small
171;3361;9.900000;1009;small
172;2613;9.900000;1110;small
173;3210;9.900000;1006;small
174;3239;9.900000;1743;small
175;2998;9.900000;1060;small
176;2868;9.900000;1274;small
177;3523;9.900000;1223;small
178;3668;9.900000;1209;small
179;3571;9.900000;1271;small
180;3274;9.900000;1660;small
181;2523;9.900000;996;small
182;2859;9.900000;1667;small
183;3359;9.900000;1676;small
184;3266;9.900000;1222;small
185;2586;9.900000;960;small
186;2389;9.900000;764;small
187;3180;9.900000;1647;small
188;3063;9.900000;1620;small
189;2935;9.900000;1645;small
190;2319;9.900000;944;small
191;2451;9.900000;906;small
192;2764;9.900000;728;small
193;2280;9.900000;1025;small
194;2697;9.900000;801;small
195;3404;9.900000;1354;small
196;2337;9.900000;1078;small
197;3300;9.900000;1256;small
198;3324;9.900000;934;small
199;3711;9.900000;1067;small
200;2695;9.900000;829;small
201;1083;9.900000;1938;small
202;4420;9.900000;1709;small
203;5402;9.900000;1544;small
204;2295;9.900000;1494;small
205;1822;9.900000;571;small
206;249;9.900000;765;small
207;3432;9.900000;152;small
208;4426;9.900000;538;small
209;1064;9.900000;1771;small
210;3602;9.900000;1923;small
211;3783;9.900000;785;small
212;2145;9.900000;996;small
213;4800;9.900000;406;small
214;499;9.900000;4;small
215;366;9.900000;1000;small
216;5591;9.900000;50;small
217;2550;9.900000;243;small
218;1476;9.900000;1976;small
219;5414;9.900000;882;small
